
3617 chunks | 150 questions (16 empty-gold, excluded from recall denominator) | vector=voyage-4-large | rerank pool=50

retriever           recall@1    recall@5    recall@10   recall@20   recall@50   
--------------------------------------------------------------------------------
BM25                     7%       16%       20%       27%       38%   
voyage-4-large          15%       31%       40%       47%       57%   
hybrid-RRF              12%       25%       37%       43%       54%   
hybrid-wt0.5            13%       30%       34%       43%       55%   
rerank:rerank-2.5        9%       31%       40%       50%       57%   
rerank:rerank-2.5-lite    10%       28%       40%       49%       57%   
vec+rw1-haiku           12%       35%       43%       51%       63%   
vec+rw3-haiku           14%       29%       43%       49%       69%   
vec+rw1-sonnet          16%       41%       56%       62%       75%   
vec+rw3-sonnet          18%       44%       52%       63%       74%   
vec+rw1-gpt5mini        19%       34%       43%       55%       67%   
vec+rw3-gpt5mini        19%       38%       50%       60%       70%   
vec+rw3-sonnet+orig     18%       38%       49%       62%       77%   

weighted-fusion alpha sweep (recall@5, alpha = vector weight):
  a=0.3: 22%   a=0.5: 30%   a=0.7: 32%

--match-both: recall@k under FORCED any vs FORCED all (ignores each question's own `match` field):
retriever           any@1  /all@1  any@5  /all@5  any@10 /all@10 any@20 /all@20 any@50 /all@50 
-----------------------------------------------------------------------------------------------
BM25                    7%/3%       16%/8%       20%/10%      27%/13%      38%/20%   
voyage-4-large         15%/5%       31%/11%      40%/16%      47%/21%      57%/26%   
hybrid-RRF             12%/4%       25%/9%       37%/15%      43%/19%      54%/28%   
hybrid-wt0.5           13%/4%       30%/10%      34%/13%      43%/20%      55%/28%   
rerank:rerank-2.5       9%/4%       31%/12%      40%/16%      50%/21%      57%/26%   
rerank:rerank-2.5-lite   10%/4%       28%/12%      40%/16%      49%/22%      57%/26%   
vec+rw1-haiku          12%/3%       35%/13%      43%/18%      51%/22%      63%/32%   
vec+rw3-haiku          14%/3%       29%/13%      43%/16%      49%/21%      69%/36%   
vec+rw1-sonnet         16%/4%       41%/16%      56%/21%      62%/25%      75%/39%   
vec+rw3-sonnet         18%/5%       44%/16%      52%/22%      63%/30%      74%/40%   
vec+rw1-gpt5mini       19%/5%       34%/15%      43%/18%      55%/23%      67%/31%   
vec+rw3-gpt5mini       19%/7%       38%/16%      50%/19%      60%/23%      70%/33%   
vec+rw3-sonnet+orig    18%/7%       38%/16%      49%/19%      62%/28%      77%/39%   

Per-question hit@5 (Y=hit, .=miss):
qid   match BM25              voyage-4-large    rerank:rerank-2.  rerank:rerank-2.  vec+rw1-haiku     vec+rw3-haiku     vec+rw1-sonnet    vec+rw3-sonnet    vec+rw1-gpt5mini  vec+rw3-gpt5mini  vec+rw3-sonnet+o  question
rg2163any   Y                 Y                 Y                 Y                 Y                 Y                 Y                 .                 Y                 Y                 .                 Nicole controls [Oraxid]. Can Austin cast [F
rg31  any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Aubrey controls [Gisa and Geralf] and has ca
rg3188any   Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 .                 Y                 Y                 In a game of commander, Natasha has shuffled
rg234 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Nico controls [Lion's Eye Diamond]. Addison 
rg347 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Avah controls [Dakmor Scorpion] and [Winding
rg1660any   .                 .                 .                 .                 .                 Y                 .                 Y                 .                 .                 .                 Alex controls [Rhythm of the Wild], [Grumgul
rg7092any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Ann has a [Sphere of Resistance], a Plains a
rg1652any   Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Abram attacks with [Robber of the Rich], exi
rg1239any   .                 Y                 .                 .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Aspen controls [Haakon, Stromgald Scourge] a
rg606 any   .                 .                 .                 .                 .                 .                 Y                 .                 .                 .                 .                 Ayaan controls [Essence of the Wild] and cas
rg2029any   .                 .                 Y                 Y                 .                 .                 Y                 Y                 .                 .                 Y                 Alex controls [Obosh, the Preypiercer] and c
rg97  any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Alessandro activates [Inkmoth Nexus] to turn
rg5242any   Y                 Y                 Y                 Y                 Y                 Y                 .                 Y                 .                 Y                 Y                 Alex controls [Extus, Oriq Overlord] and use
rg79  any   .                 .                 .                 .                 .                 .                 Y                 .                 .                 .                 .                 Autumn controls [Jibbirik Omnivore], a token
rg7215any   .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Ayla controls [Living Plane] and plays [Mina
rg633 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 Y                 .                 Andy controls [Badlands] and [Conversion]. A
rg85  any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Amy controls a [Trigon of Corruption] enchan
rg679 any   .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Nico controls [Blind Obedience]. Adonis's de
rg463 any   .                 .                 .                 .                 .                 .                 .                 Y                 .                 .                 .                 Alex casts [Brainstorm] using the ability of
rg6475any   .                 .                 .                 .                 .                 .                 .                 .                 .                 Y                 .                 Nathalia controls [Welding Jar] and [Duskwor
rg1280any   Y                 Y                 Y                 .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Armando controls [Mana Reflection] and taps 
rg1024any   Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Alden controls [Spark Double] and casts [Clo
rg113 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Ahmed casts [Bitter Ordeal], targeting Nico.
rg2599any   .                 Y                 Y                 .                 Y                 Y                 .                 .                 .                 .                 .                 Autumn restarts the game with [Karn Liberate
rg3370any   Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Abel plays [Exotic Orchard]. What can it tap
rg202 any   .                 .                 .                 .                 .                 .                 .                 Y                 .                 .                 .                 Abraham controls [Drought] and [Derelor]. Ho
rg127 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Abram controls a [Blood Moon], a [Life and L
rg494 any   .                 Y                 Y                 Y                 .                 .                 .                 .                 .                 .                 .                 Nixon has a [Southern Elephant] and a [Skull
rg117 any   Y                 Y                 Y                 Y                 Y                 Y                 .                 Y                 Y                 .                 Y                 Asa casts [Chatterstorm]. In response, Nico 
rg543 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Aaliyah controls a [Squandered Resources] an
rg899 any   Y                 .                 .                 .                 Y                 Y                 .                 Y                 .                 .                 Y                 Neil controls [Willow Elf] enchanted with [F
rg713 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Asa controls [Library of Leng] and is discar
rg608 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Noah controls [Compost]. Ainsley controls [D
rg306 any   .                 Y                 .                 .                 .                 Y                 Y                 Y                 Y                 Y                 Y                 Noor controls [Rhystic Study]. Alex casts [M
rg272 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Allison controls [Leyline of Anticipation]. 
rg559 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Albert, Brielle, and Campbell are playing a 
rg1095any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Abdullah controls [Primal Vigor] and casts [
rg4256any   Y                 .                 Y                 Y                 Y                 .                 Y                 Y                 .                 Y                 Y                 Arturo uses [Vengeful Ancestor] to goad [Cra
rg247 any   Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Arabella controls [Sylvok Explorer]. Nolan c
rg1355any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Addisyn casts [Read the Runes] for X=2 and c
rg3947any   .                 .                 .                 .                 .                 .                 Y                 .                 .                 .                 .                 Addison has six cards in their graveyard and
rg1953any   .                 .                 .                 .                 .                 .                 Y                 .                 Y                 .                 .                 Anson controls [Zirda, the Dawnwaker], [Sund
rg549 any   Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Anderson controls [Quirion Explorer]. Nico c
rg1718any   .                 .                 .                 .                 .                 .                 Y                 Y                 .                 .                 .                 Andi controls [Karn Liberated], which has ex
rg204 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Nico controls [Drought]. How many Swamps wou
rg1124any   .                 .                 .                 .                 Y                 .                 .                 Y                 .                 .                 Y                 Nico controls [Solemnity]. Aimee controls [V
rg528 any   .                 Y                 .                 .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Aislinn controls [Anointed Procession] and a
rg725 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Bailey controls [Pandemonium]. Anderson cast
rg129 any   .                 .                 .                 .                 Y                 .                 .                 .                 .                 .                 .                 Alice controls a [Life and Limb], a [Blood M
rg517 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Anson controls [Mana Reflection] and [Deathr
rg5193any   .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Alfredo controls [Magnetic Web] and is attac
rg6556any   Y                 .                 .                 .                 Y                 Y                 .                 .                 Y                 Y                 .                 At the beginning of the game, Alianna announ
rg851 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Amos controls [March of the Machines] and [M
rg807 any   .                 .                 .                 .                 Y                 .                 Y                 Y                 Y                 Y                 Y                 Avery controls [Wayward Angel] and has 7 car
rg475 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Aubrey casts [Shahrazad]. As the subgame beg
rg1454any   .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Ainsley's [Morality Shift] resolves, in what
rg470 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Autumn, Bethany, and Chaim started playing a
rg282 any   .                 Y                 .                 .                 .                 .                 Y                 .                 Y                 .                 Y                 Addison casts [Virulent Wound], targeting Na
rg466 any   .                 .                 Y                 Y                 Y                 Y                 Y                 Y                 .                 .                 Y                 Amaris, Blaine, and Clyde begin a multiplaye
rg289 any   .                 .                 .                 .                 .                 .                 .                 Y                 .                 .                 .                 Allyson controls [Ice Cauldron]. Nico contro
rg338 any   Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Anya activates [Deceptive Landscape]. Before
rg811 any   .                 .                 .                 .                 .                 .                 Y                 Y                 Y                 .                 .                 Aimee controls a manifested [Wayward Angel] 
rg60  any   .                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Y                 Bobbie has 1 life and controls a phased-out 
rg1208any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Aubrey controls [Mycosynth Lattice]. Natalia
rg5768any   .                 .                 .                 Y                 .                 .                 .                 .                 .                 .                 .                 Alaia controls [Panharmonicon] and [Mycosynt
rg100 any   .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 .                 Adelaide casts a [Keldon Champion]. In respo
